titulo,ano,nota IMDB,numero de votos,duração(min),classificação indicativa,genero,bilheteria total(USD)
Paths of Glory,1957,8.4,237768,88,Não classificado,"Drama, War",10000.0
The Shining,1980,8.4,1218463,146,16 anos,"Drama, Horror",50290000.0
The Great Dictator,1941,8.4,258580,125,Livre,"Comedy, Drama, War",970000.0
Inglourious Basterds,2009,8.4,1769293,153,16 anos,"Adventure, Drama, War",321460000.0
12th Fail,2023,8.7,168898,147,Não classificado,"Biography, Drama",140000.0
Aliens,1986,8.4,837039,137,16 anos,"Action, Adventure, Horror",131060000.0
Tengoku to jigoku,1963,8.4,70730,143,Não classificado,"Crime, Drama, Mystery",60000.0
Good Will Hunting,1998,8.4,1206463,126,16 anos,"Drama, Romance",225930000.0
Avengers: Endgame,2019,8.4,1432148,181,13 anos,"Action, Adventure, Sci-Fi",2799440000.0
The Dark Knight Rises,2012,8.4,1982116,164,13 anos,"Action, Crime, Drama",1085430000.0
Coco,2017,8.4,699365,105,10 anos,"Animation, Adventure, Drama",823290000.0
Amadeus,1984,8.4,465769,160,10 anos,"Biography, Drama, Music",52270000.0
Toy Story,1995,8.3,1166702,81,Livre,"Animation, Adventure, Comedy",401160000.0
Kimi no na wa.,2017,8.4,387323,106,Não classificado,"Animation, Drama, Fantasy",405320000.0
Das Boot,1982,8.3,286903,149,Não classificado,"Drama, War",11490000.0
Oldeuboi,2003,8.3,713159,120,16 anos,"Action, Drama, Mystery",17620000.0
Braveheart,1995,8.3,1156620,178,16 anos,"Biography, Drama, War",213220000.0
Mononoke-hime,1997,8.3,480469,133,13 anos,"Animation, Adventure, Fantasy",33810000.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,549702,95,10 anos,"Comedy, War",9670000.0
3 Idiots,2009,8.4,478860,170,13 anos,"Comedy, Drama",60260000.0
American Beauty,1999,8.3,1275771,122,16 anos,Drama,356300000.0
Capharnaüm,2018,8.4,123170,126,16 anos,Drama,64420000.0
Singin&apos; in the Rain,1952,8.3,281252,103,Livre,"Comedy, Musical, Romance",2110000.0
Joker,2019,8.3,1680640,122,16 anos,"Crime, Drama, Thriller",1078960000.0
C&apos;era una volta in America,1984,8.3,407012,229,16 anos,"Crime, Drama",5480000.0
Idi i smotri,1985,8.3,121365,142,Não classificado,"Drama, Thriller, War",20930000.0
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1203209,131,10 anos,"Action, Adventure, Fantasy",482470000.0
Requiem for a Dream,2000,8.3,968756,102,18 anos,Drama,7390000.0
Toy Story 3,2010,8.3,964317,103,Livre,"Animation, Adventure, Comedy",1067319999.9999999
Ikiru,1956,8.3,101603,143,Não classificado,Drama,110000.0
Jagten,2012,8.3,406436,115,16 anos,Drama,15890000.0
Incendies,2011,8.3,247689,131,16 anos,"Drama, Mystery, War",6790000.0
Eternal Sunshine of the Spotless Mind,2004,8.3,1176721,108,16 anos,"Drama, Romance, Sci-Fi",73310000.0
The Apartment,1960,8.3,218092,125,Não classificado,"Comedy, Drama, Romance",18780000.0
Lawrence of Arabia,1962,8.3,340320,227,Não classificado,"Adventure, Biography, Drama",46010000.0
2001: A Space Odyssey,1968,8.3,778954,149,Livre,"Adventure, Sci-Fi",68010000.0
Heat,1995,8.3,796873,170,16 anos,"Action, Crime, Drama",187440000.0
Reservoir Dogs,1992,8.3,1165366,99,16 anos,"Crime, Thriller",2940000.0
Scarface,1983,8.3,1009015,170,16 anos,"Crime, Drama",66440000.0
Double Indemnity,1944,8.3,180523,107,Não classificado,"Crime, Drama, Film-Noir",20000.0
Up,2009,8.3,1228016,96,10 anos,"Animation, Adventure, Comedy",735100000.0
North by Northwest,1959,8.3,368598,136,Não classificado,"Adventure, Drama, Mystery",210000.0
Taare Zameen Par,2007,8.3,230698,162,10 anos,"Drama, Family",21900000.0
Full Metal Jacket,1987,8.2,847150,116,16 anos,"Drama, War",50880000.0
M - Eine Stadt sucht einen Mörder,1931,8.3,182156,99,Não classificado,"Crime, Mystery, Thriller",40000.0
Citizen Kane,1941,8.2,492218,119,10 anos,"Drama, Mystery",1710000.0
Le fabuleux destin d&apos;Amélie Poulain,2002,8.3,836818,122,16 anos,"Comedy, Romance",175420000.0
Vertigo,1958,8.2,457682,128,10 anos,"Mystery, Romance, Thriller",7990000.0
Jodaeiye Nader az Simin,2011,8.3,276702,123,13 anos,Drama,22930000.0
Die Hard,1988,8.2,1025552,132,16 anos,"Action, Thriller",143650000.0
To Kill a Mockingbird,1963,8.2,350648,129,Não classificado,"Crime, Drama",610000.0
Indiana Jones and the Last Crusade,1989,8.2,860418,127,13 anos,"Action, Adventure",474170000.0
The Sting,1973,8.2,299171,129,10 anos,"Comedy, Crime, Drama",156010000.0
A Clockwork Orange,1972,8.2,933374,136,16 anos,"Crime, Sci-Fi",27170000.0
Metropolis,1927,8.2,200324,153,Não classificado,"Drama, Sci-Fi",1350000.0
1917,2020,8.2,765271,119,16 anos,"Action, Drama, War",446060000.0
Snatch,2001,8.2,972794,102,16 anos,"Comedy, Crime",83560000.0
L.A. Confidential,1997,8.2,656577,138,16 anos,"Crime, Drama, Mystery",126220000.0
Der Untergang,2005,8.2,398908,156,16 anos,"Biography, Drama, History",92180000.0
The Wolf of Wall Street,2013,8.2,1772350,180,16 anos,"Biography, Comedy, Crime",407040000.0
Dangal,2016,8.3,240747,161,Não classificado,"Action, Biography, Drama",303730000.0
The Truman Show,1998,8.2,1360444,103,10 anos,"Comedy, Drama",264120000.0
Ladri di biciclette,1949,8.2,191919,89,Não classificado,Drama,460000.0
Oppenheimer,2023,8.2,1011743,180,16 anos,"Biography, Drama, History",975810000.0
Green Book,2018,8.2,677929,130,13 anos,"Biography, Comedy, Drama",321750000.0
Shutter Island,2010,8.2,1631737,138,16 anos,"Drama, Mystery, Thriller",294980000.0
Judgment at Nuremberg,1961,8.3,96461,179,Não classificado,"Drama, History, War",10000.0
Batman Begins,2005,8.2,1703662,140,13 anos,"Action, Crime, Drama",375580000.0
Hamilton,2020,8.3,137958,160,13 anos,"Biography, Drama, History",20940000.0
Per qualche dollaro in più,1967,8.2,298846,132,16 anos,"Drama, Western",15000000.0
Taxi Driver,1976,8.2,1020084,114,16 anos,"Crime, Drama",28980000.0
Jurassic Park,1993,8.2,1169814,127,13 anos,"Action, Adventure, Sci-Fi",1103110000.0
Some Like It Hot,1959,8.2,303664,121,Não classificado,"Comedy, Music, Romance",210000.0
There Will Be Blood,2008,8.2,703624,158,16 anos,Drama,76430000.0
The Kid,1921,8.2,145076,68,Não classificado,"Comedy, Drama, Family",50000.0
The Father,2021,8.2,242331,97,13 anos,"Drama, Mystery",24050000.0
All About Eve,1950,8.2,148633,138,Não classificado,Drama,160000.0
The Sixth Sense,1999,8.2,1138184,107,13 anos,"Drama, Mystery, Thriller",672810000.0
Ran,1985,8.2,150999,160,16 anos,"Action, Drama, War",4420000.0
Casino,1995,8.2,615465,178,16 anos,"Crime, Drama",116110000.0
No Country for Old Men,2007,8.2,1179896,122,16 anos,"Crime, Drama, Thriller",171640000.0
The Thing,1982,8.2,522863,109,16 anos,"Horror, Mystery, Sci-Fi",20870000.0
Top Gun: Maverick,2022,8.2,849682,130,13 anos,"Action, Drama",1495700000.0
Prisoners,2013,8.2,925536,153,16 anos,"Crime, Drama, Mystery",122130000.0
Kill Bill: Vol. 1,2003,8.2,1299105,111,16 anos,"Action, Crime, Thriller",180910000.0
El laberinto del fauno,2007,8.2,744307,118,16 anos,"Drama, Fantasy, War",83860000.0
Unforgiven,1992,8.2,466753,130,16 anos,"Drama, Western",159170000.0
A Beautiful Mind,2002,8.2,1049366,135,13 anos,"Biography, Drama, Mystery",316790000.0
The Treasure of the Sierra Madre,1948,8.2,140941,126,Não classificado,"Adventure, Drama, Western",5010000.0
Hauru no ugoku shiro,2005,8.2,508081,119,10 anos,"Animation, Adventure, Family",243390000.0
Finding Nemo,2003,8.2,1200849,100,Livre,"Animation, Adventure, Comedy",941640000.0
Yôjinbô,1961,8.2,142437,110,Não classificado,"Action, Drama, Thriller",70000.0
The Great Escape,1963,8.2,276420,172,Não classificado,"Adventure, Drama, Thriller",230000.0
The Elephant Man,1980,8.2,281198,124,10 anos,"Biography, Drama",26080000.0
Monty Python and the Holy Grail,1975,8.2,601468,91,10 anos,"Adventure, Comedy, Fantasy",2940000.0
Dial M for Murder,1954,8.1,203905,105,10 anos,"Crime, Drama, Mystery",50000.0
La meglio gioventù,2003,8.4,27811,374,16 anos,"Drama, Romance",2800000.0
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,2025,8.4,66370,155,16 anos,"Animation, Action, Adventure",740850000.0
El secreto de sus ojos,2010,8.2,240984,129,16 anos,"Drama, Mystery, Romance",35080000.0
Gone with the Wind,1940,8.2,355221,238,Livre,"Drama, Romance, War",402380000.0
Chinatown,1974,8.1,375550,130,16 anos,"Drama, Mystery, Thriller",29230000.0
"Lock, Stock and Two Smoking Barrels",1998,8.1,648246,107,16 anos,"Comedy, Crime",3750000.0
V for Vendetta,2006,8.1,1241984,132,16 anos,"Action, Drama, Sci-Fi",134690000.0
Catch Me If You Can,2002,8.1,1225671,141,13 anos,"Biography, Crime, Drama",352110000.0
Inside Out,2015,8.1,907637,95,10 anos,"Animation, Adventure, Comedy",859080000.0
Rashômon,1951,8.1,195645,88,Não classificado,"Crime, Drama, Mystery",140000.0
